iter	Passed	Remaining
701	8643	3669
702	8658	3658
703	8675	3647
704	8691	3636
705	8706	3625
706	8723	3615
707	8739	3604
708	8754	3593
709	8769	3582
710	8785	3570
711	8800	3559
712	8812	3547
713	8827	3535
714	8842	3524
715	8857	3513
716	8873	3502
717	8887	3490
718	8902	3479
719	8916	3467
720	8930	3455
721	8944	3444
722	8960	3432
723	8971	3420
724	8985	3408
725	8998	3396
726	9012	3384
727	9026	3372
728	9042	3361
729	9057	3349
730	9071	3338
731	9089	3327
732	9104	3316
733	9120	3305
734	9134	3293
735	9148	3281
736	9160	3269
737	9177	3257
738	9194	3247
739	9209	3235
740	9220	3222
741	9235	3211
742	9251	3199
743	9267	3188
744	9283	3177
745	9297	3165
746	9311	3153
747	9325	3141
748	9339	3129
749	9353	3117
750	9366	3105
751	9380	3093
752	9396	3082
753	9410	3070
754	9422	3057
755	9435	3045
756	9449	3033
757	9462	3020
758	9475	3008
759	9488	2996
760	9501	2984
761	9514	2971
762	9526	2959
763	9539	2946
764	9552	2934
765	9566	2922
766	9579	2910
767	9594	2898
768	9607	2886
769	9620	2873
770	9634	2861
771	9647	2849
772	9661	2837
773	9676	2825
774	9691	2813
775	9707	2802
776	9721	2789
777	9735	2777
778	9747	2765
779	9760	2752
780	9773	2740
781	9784	2727
782	9797	2715
783	9811	2703
784	9824	2690
785	9838	2678
786	9851	2666
787	9865	2654
788	9878	2641
789	9891	2629
790	9905	2617
791	9919	2605
792	9933	2592
793	9948	2581
794	9964	2569
795	9979	2557
796	9992	2545
797	10005	2532
798	10020	2520
799	10034	2508
800	10048	2496
801	10062	2484
802	10076	2472
803	10091	2460
804	10101	2446
805	10114	2434
806	10126	2421
807	10140	2409
808	10157	2398
809	10173	2386
810	10190	2374
811	10204	2362
812	10223	2351
813	10239	2339
814	10255	2327
815	10270	2315
816	10285	2303
817	10301	2292
818	10319	2280
819	10334	2268
820	10350	2256
821	10366	2244
822	10382	2232
823	10397	2220
824	10414	2209
825	10429	2197
826	10449	2186
827	10468	2174
828	10488	2163
829	10502	2151
830	10520	2139
831	10537	2127
832	10549	2114
833	10566	2103
834	10582	2091
835	10598	2079
836	10615	2067
837	10630	2054
838	10646	2043
839	10663	2031
840	10680	2019
841	10697	2007
842	10715	1995
843	10731	1983
844	10748	1971
845	10764	1959
846	10780	1947
847	10797	1935
848	10815	1923
849	10828	1910
850	10844	1898
851	10860	1886
852	10876	1874
853	10892	1862
854	10907	1849
855	10921	1837
856	10936	1824
857	10951	1812
858	10965	1799
859	10980	1787
860	10996	1775
861	11010	1762
862	11025	1750
863	11042	1738
864	11057	1725
865	11072	1713
866	11087	1700
867	11102	1688
868	11117	1676
869	11133	1663
870	11148	1651
871	11163	1638
872	11177	1626
873	11192	1613
874	11207	1601
875	11224	1588
876	11239	1576
877	11255	1563
878	11270	1551
879	11287	1539
880	11302	1526
881	11318	1514
882	11333	1501
883	11349	1489
884	11365	1476
885	11382	1464
886	11396	1451
887	11410	1439
888	11423	1426
889	11443	1414
890	11462	1402
891	11478	1389
892	11493	1377
893	11509	1364
894	11522	1351
895	11536	1339
896	11550	1326
897	11564	1313
898	11579	1300
899	11593	1288
900	11608	1275
901	11623	1262
902	11638	1250
903	11652	1237
904	11666	1224
905	11683	1212
906	11700	1199
907	11718	1187
908	11735	1174
909	11751	1162
910	11768	1149
911	11783	1136
912	11798	1124
913	11813	1111
914	11827	1098
915	11841	1085
916	11856	1073
917	11869	1060
918	11886	1047
919	11902	1035
920	11917	1022
921	11933	1009
922	11943	996
923	11957	983
924	11969	970
925	11983	957
926	11996	944
927	12010	931
928	12025	919
929	12038	906
930	12053	893
931	12068	880
932	12081	867
933	12095	854
934	12109	841
